"Country or Area","Year(s)","Variant","Value"
"Ireland","2088","Low","4441.136"
"Ireland","2088","Constant fertility","5909.864"
"Ireland","2088","Instant replacement","6946.024"
"Ireland","2088","Zero migration","4789.505"
"Ireland","2088","Constant mortality","5269.73"
"Ireland","2088","No change","5410.899"
"Ireland","2088","Momentum","5399.182"
"Ireland","2088","Instant replacement zero migration","5856.613"
"Ireland","2088","Median PI","5767.454"
"Ireland","2088","Upper 80 PI","6581.659"
"Ireland","2088","Lower 80 PI","5057.992"
"Ireland","2088","Upper 95 PI","6998.173"
"Ireland","2088","Lower 95 PI","4669.115"
"Ireland","2087","Medium","5767.507"
"Ireland","2087","High","7340.721"
"Ireland","2087","Low","4467.257"
"Ireland","2087","Constant fertility","5905.94"
"Ireland","2087","Instant replacement","6917.938"
"Ireland","2087","Zero migration","4805.028"
"Ireland","2087","Constant mortality","5280.814"
"Ireland","2087","No change","5418.082"
"Ireland","2087","Momentum","5399.75"
"Ireland","2087","Instant replacement zero migration","5847.766"
"Ireland","2087","Median PI","5767.507"
"Ireland","2087","Upper 80 PI","6561.17"
"Ireland","2087","Lower 80 PI","5076.449"
"Ireland","2087","Upper 95 PI","6968.098"
"Ireland","2087","Lower 95 PI","4687.861"
"Ireland","2086","Medium","5767.142"
"Ireland","2086","High","7301.78"
"Ireland","2086","Low","4492.894"
"Ireland","2086","Constant fertility","5901.654"
"Ireland","2086","Instant replacement","6889.875"
"Ireland","2086","Zero migration","4820.24"
"Ireland","2086","Constant mortality","5291.174"
"Ireland","2086","No change","5424.603"
"Ireland","2086","Momentum","5400.025"
"Ireland","2086","Instant replacement zero migration","5838.965"
"Ireland","2086","Median PI","5767.142"
"Ireland","2086","Upper 80 PI","6538.107"
"Ireland","2086","Lower 80 PI","5091.72"
"Ireland","2086","Upper 95 PI","6938.81"
"Ireland","2086","Lower 95 PI","4705.484"
"Ireland","2085","Medium","5766.457"
"Ireland","2085","High","7263.062"
"Ireland","2085","Low","4518.158"
"Ireland","2085","Constant fertility","5897.056"
"Ireland","2085","Instant replacement","6861.868"
"Ireland","2085","Zero migration","4835.249"
"Ireland","2085","Constant mortality","5300.873"
"Ireland","2085","No change","5430.467"
"Ireland","2085","Momentum","5400.023"
"Ireland","2085","Instant replacement zero migration","5830.262"
"Ireland","2085","Median PI","5766.456"
"Ireland","2085","Upper 80 PI","6516.037"
"Ireland","2085","Lower 80 PI","5103.492"
"Ireland","2085","Upper 95 PI","6907.559"
"Ireland","2085","Lower 95 PI","4728.929"
"Ireland","2084","Medium","5765.562"
"Ireland","2084","High","7224.613"
"Ireland","2084","Low","4543.197"
"Ireland","2084","Constant fertility","5892.283"
"Ireland","2084","Instant replacement","6834.027"
"Ireland","2084","Zero migration","4850.175"
"Ireland","2084","Constant mortality","5309.936"
"Ireland","2084","No change","5435.716"
"Ireland","2084","Momentum","5399.775"
"Ireland","2084","Instant replacement zero migration","5821.768"
"Ireland","2084","Median PI","5765.562"
"Ireland","2084","Upper 80 PI","6497.15"
"Ireland","2084","Lower 80 PI","5117.484"
"Ireland","2084","Upper 95 PI","6878.068"
"Ireland","2084","Lower 95 PI","4757.517"
"Ireland","2083","Medium","5764.504"
"Ireland","2083","High","7186.386"
"Ireland","2083","Low","4568.083"
"Ireland","2083","Constant fertility","5887.435"
"Ireland","2083","Instant replacement","6806.423"
"Ireland","2083","Zero migration","4865.063"
"Ireland","2083","Constant mortality","5318.358"
"Ireland","2083","No change","5440.407"
"Ireland","2083","Momentum","5399.327"
"Ireland","2083","Instant replacement zero migration","5813.555"
"Ireland","2083","Median PI","5764.504"
"Ireland","2083","Upper 80 PI","6478.059"
"Ireland","2083","Lower 80 PI","5134.042"
"Ireland","2083","Upper 95 PI","6849.194"
"Ireland","2083","Lower 95 PI","4778.089"
"Ireland","2082","Medium","5763.48"
"Ireland","2082","High","7148.569"
"Ireland","2082","Low","4593.014"
"Ireland","2082","Constant fertility","5882.637"
"Ireland","2082","Instant replacement","6779.159"
"Ireland","2082","Zero migration","4880.099"
"Ireland","2082","Constant mortality","5326.29"
"Ireland","2082","No change","5444.626"
"Ireland","2082","Momentum","5398.751"
"Ireland","2082","Instant replacement zero migration","5805.736"
"Ireland","2082","Median PI","5763.48"
"Ireland","2082","Upper 80 PI","6458.914"
"Ireland","2082","Lower 80 PI","5146.971"
"Ireland","2082","Upper 95 PI","6826.268"
"Ireland","2082","Lower 95 PI","4793.4"
"Ireland","2081","Medium","5762.574"
"Ireland","2081","High","7111.176"
"Ireland","2081","Low","4618.097"
"Ireland","2081","Constant fertility","5878.029"
"Ireland","2081","Instant replacement","6752.351"
"Ireland","2081","Zero migration","4895.364"
"Ireland","2081","Constant mortality","5333.779"
"Ireland","2081","No change","5448.471"
"Ireland","2081","Momentum","5398.147"
"Ireland","2081","Instant replacement zero migration","5798.417"
"Ireland","2081","Median PI","5762.574"
"Ireland","2081","Upper 80 PI","6440.907"
"Ireland","2081","Lower 80 PI","5159.587"
"Ireland","2081","Upper 95 PI","6807.195"
"Ireland","2081","Lower 95 PI","4811.735"
"Ireland","2080","Medium","5761.9"
"Ireland","2080","High","7074.283"
"Ireland","2080","Low","4643.443"
"Ireland","2080","Constant fertility","5873.695"
"Ireland","2080","Instant replacement","6726.061"
"Ireland","2080","Zero migration","4910.972"
"Ireland","2080","Constant mortality","5340.988"
"Ireland","2080","No change","5452.073"
"Ireland","2080","Momentum","5397.623"
"Ireland","2080","Instant replacement zero migration","5791.663"
"Ireland","2080","Median PI","5761.9"
"Ireland","2080","Upper 80 PI","6422.745"
"Ireland","2080","Lower 80 PI","5174.62"
"Ireland","2080","Upper 95 PI","6783.342"
"Ireland","2080","Lower 95 PI","4835.12"
"Ireland","2079","Medium","5761.685"
"Ireland","2079","High","7038.149"
"Ireland","2079","Low","4669.244"
"Ireland","2079","Constant fertility","5869.681"
"Ireland","2079","Instant replacement","6700.321"
"Ireland","2079","Zero migration","4927.122"
"Ireland","2079","Constant mortality","5348.22"
"Ireland","2079","No change","5455.554"
"Ireland","2079","Momentum","5397.273"
"Ireland","2079","Instant replacement zero migration","5785.502"
"Ireland","2079","Median PI","5761.685"
"Ireland","2079","Upper 80 PI","6406.885"
"Ireland","2079","Lower 80 PI","5188.42"
"Ireland","2079","Upper 95 PI","6762.968"
"Ireland","2079","Lower 95 PI","4859.191"
"Ireland","2078","Medium","5761.846"
"Ireland","2078","High","7002.611"
"Ireland","2078","Low","4695.441"
"Ireland","2078","Constant fertility","5866.048"
"Ireland","2078","Instant replacement","6675.163"
"Ireland","2078","Zero migration","4943.731"
"Ireland","2078","Constant mortality","5355.441"
"Ireland","2078","No change","5459.035"
"Ireland","2078","Momentum","5397.208"
"Ireland","2078","Instant replacement zero migration","5779.955"
"Ireland","2078","Median PI","5761.846"
"Ireland","2078","Upper 80 PI","6392.493"
"Ireland","2078","Lower 80 PI","5199.871"
"Ireland","2078","Upper 95 PI","6745.651"
"Ireland","2078","Lower 95 PI","4880.428"
"Ireland","2077","Medium","5762.393"
"Ireland","2077","High","6967.65"
"Ireland","2077","Low","4722.038"
"Ireland","2077","Constant fertility","5862.841"
"Ireland","2077","Instant replacement","6650.613"
"Ireland","2077","Zero migration","4960.799"
"Ireland","2077","Constant mortality","5362.754"
"Ireland","2077","No change","5462.64"
"Ireland","2077","Momentum","5397.536"
"Ireland","2077","Instant replacement zero migration","5775.039"
"Ireland","2077","Median PI","5762.393"
"Ireland","2077","Upper 80 PI","6377.043"
"Ireland","2077","Lower 80 PI","5215.676"
"Ireland","2077","Upper 95 PI","6722.822"
"Ireland","2077","Lower 95 PI","4900.86"
"Ireland","2076","Medium","5763.247"
"Ireland","2076","High","6933.151"
"Ireland","2076","Low","4748.981"
"Ireland","2076","Constant fertility","5860.078"
"Ireland","2076","Instant replacement","6626.688"
"Ireland","2076","Zero migration","4978.257"
"Ireland","2076","Constant mortality","5370.173"
"Ireland","2076","No change","5466.484"
"Ireland","2076","Momentum","5398.342"
"Ireland","2076","Instant replacement zero migration","5770.757"
"Ireland","2076","Median PI","5763.247"
"Ireland","2076","Upper 80 PI","6362.768"
"Ireland","2076","Lower 80 PI","5236.2"
"Ireland","2076","Upper 95 PI","6703.834"
"Ireland","2076","Lower 95 PI","4923.83"
"Ireland","2075","Medium","5764.344"
"Ireland","2075","High","6899.046"
"Ireland","2075","Low","4776.19"
"Ireland","2075","Constant fertility","5857.728"
"Ireland","2075","Instant replacement","6603.337"
"Ireland","2075","Zero migration","4996.039"
"Ireland","2075","Constant mortality","5377.773"
"Ireland","2075","No change","5470.67"
"Ireland","2075","Momentum","5399.716"
"Ireland","2075","Instant replacement zero migration","5767.056"
"Ireland","2075","Median PI","5764.344"
